序号,NEW_TYPE,大类,中类,小类,Big Category,Mid  Category,Sub Category
1,010000,汽车服务,汽车服务相关,汽车服务相关,Auto Service,Automobile Service Related,Automobile Service Related
2,010100,汽车服务,加油站,加油站,Auto Service,Filling Station,Filling Station
3,010101,汽车服务,加油站,中国石化,Auto Service,Filling Station,Sinopec
4,010102,汽车服务,加油站,中国石油,Auto Service,Filling Station,PetroChina
5,010103,汽车服务,加油站,壳牌,Auto Service,Filling Station,Shell
6,010104,汽车服务,加油站,美孚,Auto Service,Filling Station,Mobil
7,010105,汽车服务,加油站,加德士,Auto Service,Filling Station,Caltex
8,010107,汽车服务,加油站,东方,Auto Service,Filling Station,FEOSO
9,010108,汽车服务,加油站,中石油碧辟,Auto Service,Filling Station,BP PetroChina
10,010109,汽车服务,加油站,中石化碧辟,Auto Service,Filling Station,BP Sinopec
11,010110,汽车服务,加油站,道达尔,Auto Service,Filling Station,TOTAL
12,010111,汽车服务,加油站,埃索,Auto Service,Filling Station,ESSO
13,010112,汽车服务,加油站,中化道达尔,Auto Service,Filling Station,TOTAL-SINOCHEM
14,010200,汽车服务,其它能源站,其它能源站,Auto Service,Other Energy Station,Other Energy Station
15,010300,汽车服务,加气站,加气站,Auto Service,Filling Station,Filling Station
16,010400,汽车服务,汽车养护/装饰,汽车养护,Auto Service,Automobile Maintenance/Decoration,Automobile Maintenance
17,010401,汽车服务,汽车养护/装饰,加水站,Auto Service,Automobile Maintenance/Decoration,Add Water Station
18,010500,汽车服务,洗车场,洗车场,Auto Service,Car Wash,Car Wash
19,010600,汽车服务,汽车俱乐部,汽车俱乐部,Auto Service,Automobile Club,Automobile Club
20,010700,汽车服务,汽车救援,汽车救援,Auto Service,Automobile Rescue,Automobile Rescue
21,010800,汽车服务,汽车配件销售,汽车配件销售,Auto Service,Automobile Parts Sales,Automobile Parts Sales
22,010900,汽车服务,汽车租赁,汽车租赁,Auto Service,Automobile Rental,Automobile Rental
23,010901,汽车服务,汽车租赁,汽车租赁还车,Auto Service,Automobile Rental,Rent-a-Car Return
24,011000,汽车服务,二手车交易,二手车交易,Auto Service,Used Automobile Dealer,Used Automobile Dealer
25,011100,汽车服务,充电站,充电站,Auto Service,Charging Station,Charging Station
26,011101,汽车服务,换电站,换电站,Auto Service,Battery Change Station,Battery Change Station
27,011102,汽车服务,充电站,充换电站,Auto Service,Charging and Power Swapping Station,Charging and Power Swapping Station
28,011103,汽车服务,充电站,专用充电站,Auto Service,Dedicated Charging Station,Dedicated Charging Station
29,020000,汽车销售,汽车销售,汽车销售,Auto Dealers,Automobile Sales,Automobile Sales
30,020100,汽车销售,大众特约销售,大众销售,Auto Dealers,Volkswagen Franchised Sales,Volkswagen Sales
31,020101,汽车销售,大众特约销售,上海大众销售,Auto Dealers,Volkswagen Franchised Sales,Shanghai Volkswagen Sales
32,020102,汽车销售,大众特约销售,一汽-大众销售,Auto Dealers,Volkswagen Franchised Sales,FAW-Volkswagen Sales
33,020103,汽车销售,大众特约销售,斯柯达销售,Auto Dealers,Volkswagen Franchised Sales,Skoda Sales
34,020104,汽车销售,大众特约销售,进口大众销售,Auto Dealers,Volkswagen Franchised Sales,Import Volkswagen Sales
35,020105,汽车销售,大众特约销售,宾利销售,Auto Dealers,Volkswagen Franchised Sales,Bentley Sales
36,020106,汽车销售,大众特约销售,兰博基尼销售,Auto Dealers,Volkswagen Franchised Sales,Lamborghini Sales
37,020200,汽车销售,本田特约销售,本田销售,Auto Dealers,Honda Franchised Sales,Honda Sales
38,020201,汽车销售,本田特约销售,广汽本田销售,Auto Dealers,Honda Franchised Sales,GAC Honda Sales
39,020202,汽车销售,本田特约销售,东风本田销售,Auto Dealers,Honda Franchised Sales,Dongfeng Honda Sales
40,020203,汽车销售,本田特约销售,本田讴歌销售,Auto Dealers,Honda Franchised Sales,Acura Sales
41,020300,汽车销售,奥迪特约销售,上汽-大众奥迪销售,Auto Dealers,Audi Franchised Sales,SAIC-Audi Sales
42,020301,汽车销售,奥迪特约销售,一汽-大众奥迪销售,Auto Dealers,Audi Franchised Sales,FAW-Audi Sales
43,020400,汽车销售,通用特约销售,通用销售,Auto Dealers,General Motors Franchised Sales,General Motors Sales
44,020401,汽车销售,通用特约销售,凯迪拉克销售,Auto Dealers,General Motors Franchised Sales,Cadillac Sales
45,020402,汽车销售,通用特约销售,别克销售,Auto Dealers,General Motors Franchised Sales,Buick Sales
46,020403,汽车销售,通用特约销售,雪佛兰销售,Auto Dealers,General Motors Franchised Sales,Chevrolet Sales
47,020404,汽车销售,通用特约销售,欧宝销售,Auto Dealers,General Motors Franchised Sales,Opel Sales
48,020405,汽车销售,通用特约销售,萨博销售,Auto Dealers,General Motors Franchised Sales,Saab Sales
49,020406,汽车销售,通用特约销售,沃克斯豪尔销售,Auto Dealers,General Motors Franchised Sales,Vauxhall Sales
50,020407,汽车销售,通用特约销售,土星销售,Auto Dealers,General Motors Franchised Sales,Saturn Sales
51,020408,汽车销售,通用特约销售,大宇销售,Auto Dealers,General Motors Franchised Sales,Daewoo Sales
52,020600,汽车销售,宝马特约销售,宝马销售,Auto Dealers,BMW Franchised Sales,BMW Sales
